Melody ID,Number of Bars
1972_03_2,10
1972_03_3,32
1972_04_1,7
1972_04_2,8
1972_05_1,9
1972_05_2,3
1972_05_3,8
1973_01_1,10
1973_01_2,11
1973_01_3,7
1973_02_1,8
1973_02_2,8
1973_03_1,15
1973_03_2,14
1973_04_1,7
1973_04_2,7
1973_04_3,8
1973_04_4,7
1973_04_5,15
1973_04_6,16
1973_04_7,15
1973_04_8,18
1973_05_1,7
1973_05_2,4
1973_05_3,8
1974_01_1,7
1974_01_2,9
1974_01_3,10
1974_02_1,18
1974_02_2,5
1974_03_1,16
1974_03_2,14
1974_03_3,7
1974_03_4,8
1974_04_1,16
1974_04_2,8
1974_04_3,8
1974_05_1,9
1974_05_2,4
1974_05_3,8
1974_05_4,8
1975_01_1,10
1975_01_2,8
1975_01_3,10
1975_02_1,13
1975_02_2,7
1975_02_3,13
1975_03_1,15
1975_03_2,14
1975_03_3,18
1975_04_1,15
1975_04_2,19
1975_05_1,8
1975_05_2,8
1975_05_3,7
1976_01_1,19
1976_01_2,7
1976_01_3,15
1976_01_4,11
1976_01_5,15
1976_02_1,17
1976_02_2,15
1976_02_3,7
1976_03_1,7
1976_03_2,12
1976_03_3,4
1976_03_4,8
1976_04_1,7
1976_04_2,8
1976_04_3,5
1976_05_1,16
1976_05_2,4
1976_05_3,9
1976_05_4,8
1977_01_1,8
1977_01_2,8
1977_01_3,7
1977_02_1,8
1977_02_2,8
1977_02_3,7
1977_02_4,7
1977_03_1,16
1977_03_2,8
1977_03_3,8
1977_03_4,8
1977_04_1,8
1977_04_2,8
1977_04_3,9
1977_04_4,13
1977_05_1,8
1977_05_2,8
1977_05_3,8
1978_01_1,7
1978_01_2,13
1978_01_3,8
1978_02_1,8
1978_02_2,6
1978_02_3,7
1978_02_4,8
1978_03_1,16
1978_03_2,14
1978_04_1,8
1978_04_2,9
1978_04_3,10
1978_05_1,9
1978_05_2,8
1978_05_3,7
1978_05_4,10
1978_05_5,7
1978_05_6,7
1979_01_1,12
1979_01_2,4
1979_01_3,12
1979_02_1,8
1979_02_2,8
1979_02_3,8
1979_02_4,8
1979_02_5,8
1979_02_6,15
1979_03_1,7
1979_03_2,14
1979_04_1,8
1979_04_2,8
1979_05_1,9
1979_05_2,6
1979_05_3,7
1980_01_1,12
1980_01_2,9
1980_01_3,19
1980_02_1,19
1980_02_2,7
1980_03_1,9
1980_03_2,8
1980_03_3,12
1980_04_1,12
1980_04_2,4
1980_04_3,8
1980_04_4,8
1980_05_1,8
1980_05_2,6
1981_01_1,15
1981_01_2,12
1981_02_1,12
1981_02_2,8
1981_02_3,9
1981_03_1,13
1981_03_2,8
1981_03_3,15
1981_04_1,15
1981_04_2,14
1981_04_3,9
1981_05_1,8
1981_05_2,6
1981_05_3,6
1981_05_4,8
1982_01_1,16
1982_01_2,15
1982_02_1,8
1982_02_2,10
1982_03_1,11
1982_03_2,5
1982_04_1,7
1982_04_2,9
1982_04_3,4
1982_05_1,8
1982_05_2,8
1982_05_3,8
1983_01_1,7
1983_01_2,7
1983_01_3,12
1983_02_1,18
1983_02_2,9
1983_02_3,11
1983_03_1,7
1983_03_2,15
1983_04_1,8
1983_04_2,8
1983_05_1,8
1983_05_2,12
1984_01_1,8
1984_02_1,13
1984_02_2,8
1984_02_3,8
1984_03_1,8
1984_03_2,9
1984_03_3,7
1984_04_1,21
1984_04_2,16
1984_05_1,11
1984_05_2,16
1985_01_1,8
1985_01_2,9
1985_01_3,9
1985_01_4,8
1985_02_1,17
1985_02_2,8
1985_02_3,7
1985_03_1,8
1985_03_2,9
1985_03_3,18
1985_03_4,9
1985_04_1,9
1985_04_2,9
1985_04_3,8
1985_05_1,8
1985_05_2,7
1985_05_3,7
1986_01_1,10
1986_01_2,8
1986_02_1,8
1986_02_2,8
1986_02_3,8
1986_03_1,8
1986_03_2,9
1986_03_3,8
1986_04_1,11
1986_04_2,5
1986_04_3,14
1986_04_4,6
1986_04_5,23
1986_05_1,4
1986_05_2,7
1986_05_3,8
1987_01_1,16
1987_01_2,7
1987_01_3,2
1987_02_1,13
1987_02_2,10
1987_03_1,16
1987_03_2,8
1987_03_3,6
1987_04_1,8
1987_04_2,7
1987_04_3,17
1987_04_4,8
1987_04_5,17
1987_05_1,8
1987_05_2,8
1987_05_3,9
1987_05_4,10
1988_01_1,8
1988_01_2,8
1988_01_3,4
1988_02_1,9
1988_02_2,7
1988_02_3,7
1988_02_4,6
1988_03_1,7
1988_03_2,8
1988_03_3,10
1988_03_4,8
1988_04_1,8
1988_04_2,4
1988_04_3,8
1988_05_1,15
1988_05_2,7
1988_05_3,7
1989_01_1,8
1989_01_2,8
1989_01_3,11
1989_02_1,8
1989_02_2,16
1989_02_3,7
1989_02_4,8
1989_02_5,8
1989_02_6,5
1989_03_1,8
1989_03_2,8
1989_03_3,5
1989_04_1,8
1989_04_2,4
1989_04_3,8
1989_04_4,7
1989_04_5,8
1989_04_6,8
1989_05_1,16
1989_05_2,8
1989_05_3,8
1989_05_4,9
1989_05_5,7
1990_01_1,8
1990_01_2,5
1990_01_3,12
1990_01_4,8
1990_02_1,15
1990_02_2,8
1990_03_1,16
1990_03_2,4
1990_03_3,8
1990_04_1,15
1990_04_2,8
1990_04_3,5
1990_05_1,16
1990_05_2,8
1990_05_3,11
1990_05_4,10
1991_01_1,8
1991_01_2,7
1991_01_3,8
1991_01_4,8
1991_01_5,4
1991_02_1,9
1991_02_2,8
1991_02_3,5
1991_02_4,7
1991_03_1,5
1991_03_2,4
1991_03_3,8
1991_04_1,10
1991_04_2,4
1991_04_3,8
1991_04_4,8
1991_05_1,8
1991_05_2,4
1991_05_3,8
1992_01_1,15
1992_01_2,8
1992_01_3,16
1992_04_1,8
1992_04_2,8
1992_05_1,16
1992_05_2,8
1992_05_3,8
1992_05_4,8
1992_05_5,8
1993_01_1,9
1993_01_2,15
1993_01_3,10
1993_01_4,8
1993_03_1,8
1993_03_2,5
1993_04_1,5
1993_04_2,8
1993_04_3,4
1993_05_1,8
1993_05_2,6
1994_01_1,6
1994_01_2,10
1994_01_3,6
1994_02_1,14
1994_02_2,8
1994_02_3,7
1994_03_1,8
1994_03_2,8
1994_03_3,9
1994_03_4,10
1994_04_1,15
1994_04_2,7
1994_04_3,9
1994_05_1,8
1994_05_2,9
1994_05_3,8
1995_01_1,8
1995_01_2,4
1995_02_1,8
1995_02_2,8
1995_02_3,7
1995_03_1,16
1995_03_2,9
1995_04_1,8
1995_04_2,22
1995_04_3,15
1995_04_4,16
1995_05_1,8
1995_05_2,13
1995_05_3,10
1995_05_4,8
1996_01_1,8
1996_01_2,8
1996_02_1,8
1996_02_2,9
1996_02_3,8
1996_03_1,11
1996_03_2,8
1996_03_3,8
1996_04_1,7
1996_04_2,8
1996_04_3,7
1996_04_4,7
1996_05_1,4
1996_05_2,9
1996_05_3,9
1996_05_4,8
1997_01a_1,7
1997_01a_2,13
1997_01b_1,8
1997_01b_2,9
1997_02a_1,16
1997_02a_2,4
1997_02a_3,9
1997_02b_1,16
1997_02b_2,11
1997_02b_3,8
1997_03_1,16
1997_03_2,8
1997_04_1,14
1997_04_2,16
1997_04_3,6
1998_01_1,8
1998_01_2,8
1998_01_3,8
1998_01_4,8
1998_01_5,8
1998_02_1,8
1998_02_2,5
1998_03_1,10
1998_03_2,8
1998_04_1,8
1998_04_2,4
1998_04_3,8
1998_04_4,6
1998_05_1,7
1998_05_2,5
1998_05_3,9
1999_01_1,15
1999_01_2,15
1999_01_3,14
1999_02_1,4
1999_02_2,4
1999_02_3,9
1999_02_4,9
1999_02_5,8
1999_03_1,8
1999_03_2,4
1999_03_3,8
1999_03_4,9
1999_04_1,8
1999_04_2,4
1999_04_3,8
1999_05_1,8
1999_05_2,4
1999_05_3,8
1999_05_4,16
2000_01_1,15
2000_01_2,22
2000_02_1,16
2000_02_2,9
2000_02_3,8
2000_03_1,15
2000_03_2,4
2000_03_3,9
2000_03_4,9
2000_04_1,8
2000_04_2,8
2000_04_3,8
2000_04_4,8
2000_04_5,8
2000_05_1,8
2000_05_2,9
2000_05_3,9
2001_01_1,8
2001_01_2,8
2001_01_3,17
2001_02_1,10
2001_02_2,4
2001_02_3,8
2001_02_4,8
2001_03_1,8
2001_03_2,9
2001_03_3,8
2001_03_4,8
2001_04_1,12
2001_04_2,9
2001_04_3,8
2001_04_4,3
2001_05_1,7
2001_05_2,8
2001_05_3,4
2001_05_4,8
2001_05_5,12
2001_05_6,8
2002_01_1,4
2002_01_2,6
2002_01_3,9
2002_01_4,4
2002_01_5,4
2002_02_1,8
2002_02_2,9
2002_02_3,9
2002_02_4,9
2002_02_5,8
2002_03_1,16
2002_03_2,8
2002_03_3,8
2002_03_4,8
2002_04_1,8
2002_04_2,12
2002_04_3,8
2002_04_4,4
2002_05_1,9
2002_05_2,8
2002_05_3,6
2003_01_1,8
2003_01_2,5
2003_02_1,8
2003_02_2,4
2003_02_3,8
2003_03_1,8
2003_03_2,10
2003_03_3,8
2003_04_1,4
2003_04_2,8
2003_04_3,8
2003_04_4,10
2003_05_1,11
2003_05_2,11
2003_05_3,8
2004_01_1,4
2004_01_2,16
2004_01_3,7
2004_01_4,16
2004_02_1,17
2004_02_2,16
2004_02_3,17
2004_02_4,17
2004_03_1,14
2004_03_2,15
2004_03_3,16
2004_04_1,8
2004_04_2,9
2004_04_3,4
2004_04_4,8
2004_05_1,16
2004_05_2,16
2005_01_1,8
2005_01_2,4
2005_01_3,8
2005_01_4,8
2005_01_5,4
2005_02_1,8
2005_03_1,8
2005_03_2,8
2005_03_3,12
2005_03_4,8
2005_04_1,7
2005_04_2,6
2005_04_3,11
2005_04_4,9
2005_05_1,8
2005_05_2,9
2005_05_3,16
2006_01_1,8
2006_01_2,8
2006_01_3,4
2006_01_4,5
2006_02_1,8
2006_02_2,8
2006_03_1,16
2006_04_1,8
2006_04_2,11
2006_04_3,8
2006_05_1,8
2006_05_2,4
2006_05_3,8
2006_05_4,4
2007_01_1,8
2007_01_2,5
2007_01_3,10
2007_01_4,8
2007_01_5,9
2007_02_1,8
2007_02_2,16
2007_02_3,8
2007_02_4,8
2007_03_1,8
2007_03_2,4
2007_03_3,4
2007_03_4,16
2007_03_5,16
2007_04_1,17
2007_04_2,17
2007_04_3,16
2007_04_4,10
2007_05_1,8
2007_05_2,8
2007_05_3,8
2008_01_1,16
2008_01_2,16
2008_01_3,15
2008_01_4,16
2008_02_1,15
2008_02_2,8
2008_02_3,8
2008_02_4,8
2008_03_1,8
2008_03_2,9
2008_03_3,13
2008_03_4,8
2008_03_5,9
2008_03_6,8
2008_04_1,8
2008_04_2,16
2008_04_3,16
2008_04_4,8
2008_04_5,15
2008_04_6,16
2008_05_1,16
2008_05_2,8
2009_01_1,8
2009_01_2,8
2009_01_3,9
2009_01_4,7
2009_02_1,8
2009_02_2,8
2009_02_3,12
2009_03_1,8
2009_03_2,8
2009_03_3,9
2009_03_4,16
2009_03_5,8
2009_04_1,16
2009_04_2,8
2009_04_3,8
2009_04_4,8
2009_05_1,7
2009_05_2,8
2009_05_3,8
2009_05_4,8
2010_01_1,14
2010_01_2,16
2010_02_1,14
2010_02_2,12
2010_03_1,7
2010_03_2,9
2010_03_3,8
2010_04_1,7
2010_04_2,8
2010_04_3,16
2010_05_1,16
2010_05_2,16
2010_05_3,8
2011_01_1,8
2011_01_2,8
2011_01_3,8
2011_01_4,7
2011_02_1,8
2011_02_2,8
2011_02_3,20
2011_03_1,15
2011_03_2,8
2011_03_3,16
2011_03_4,7
2011_04_1,8
2011_04_2,4
2011_04_3,9
2011_04_4,3
2011_05_1,8
2011_05_2,7
2011_05_3,10
2011_05_4,9
2012_01_1,15
2012_01_2,24
2012_01_3,17
2012_02_1,8
2012_02_2,4
2012_02_3,16
2012_02_4,9
2012_03_1,19
2012_03_2,16
2012_03_3,8
2012_03_4,16
2012_04_1,8
2012_04_2,8
2012_04_3,8
2012_04_4,9
2012_05_1,16
2012_05_2,16
2013_01_1,4
2013_01_2,8
2013_02_1,8
2013_02_2,8
2013_02_3,16
2013_03_1,8
2013_03_2,8
2013_03_3,4
2013_04_1,8
2013_04_2,8
2013_04_3,7
2013_04_4,8
2013_04_5,16
2013_05_1,16
2013_05_2,16
2014_01_1,15
2014_01_2,16
2014_01_3,8
2014_02_1,17
2014_02_2,9
2014_02_3,6
2014_03_1,17
2014_03_2,8
2014_03_3,16
2014_03_4,8
2014_03_5,8
2014_04_1,8
2014_04_2,8
2014_05_1,10
2014_05_2,8
2014_05_3,12
2014_05_4,8
2015_01_1,7
2015_01_2,8
2015_01_3,8
2015_01_4,9
2015_01_5,8
2015_02_1,8
2015_02_2,16
2015_02_3,10
2015_03_1,9
2015_03_2,3
2015_03_3,4
2015_03_4,8
2015_04_1,25
2015_04_2,17
2015_04_3,9
2015_05_1,8
2015_05_2,8
2015_05_3,16
2015_05_4,12
2016_01_1,8
2016_01_2,8
2016_01_3,8
2016_01_4,7
2016_01_5,8
2016_02_1,8
2016_02_2,8
2016_02_3,8
2016_03_1,8
2016_03_2,8
2016_03_3,8
2016_03_4,8
2016_04_1,6
2016_04_2,16
2016_04_3,11
2016_04_4,20
2016_05_1,4
2016_05_2,8
2016_05_3,8
2017_01_1,8
2017_01_2,8
2017_01_3,8
2017_01_4,8
2017_01_5,8
2017_02_1,12
2017_02_2,8
2017_02_3,8
2017_02_4,8
2017_02_5,8
2017_02_6,8
2017_03_1,12
2017_03_2,8
2017_03_3,12
2017_03_4,14
2017_03_5,15
2017_05_1,8
2017_05_2,8
2017_05_3,8
2017_05_4,6
2017_05_5,9
2018_01_1,8
2018_01_2,7
2018_01_3,7
2018_01_4,8
2018_02_1,15
2018_02_2,16
2018_02_3,17
2018_02_4,16
2018_03_1,8
2018_03_2,8
2018_03_3,8
2018_03_4,3
2018_04_1,9
2018_04_2,8
2018_04_3,8
2018_04_4,16
2018_05_1,9
2018_05_2,8
2018_05_3,5
2019_01_1,8
2019_01_2,8
2019_01_3,8
2019_01_4,16
2019_02_1,12
2019_02_2,4
2019_02_3,8
2019_02_4,10
2019_02_5,5
2019_03_1,8
2019_03_2,8
2019_03_3,23
2019_03_4,7
2019_04_1,16
2019_04_2,6
2019_04_3,8
2019_05_1,12
2019_05_2,8
2019_05_3,16
2020_01_1,7
2020_01_2,7
2020_01_3,8
2020_01_4,7
2020_01_5,7
2020_02_1,8
2020_02_2,7
2020_02_3,16
2020_02_4,17
2020_02_5,9
2020_03_1,16
2020_03_2,16
2020_03_3,16
2020_04_1,13
2020_04_2,7
2020_04_3,8
2020_05_1,13
2020_05_2,17
2021_01_1,8
2021_01_2,4
2021_01_3,8
2021_01_4,8
2021_02_1,8
2021_02_2,7
2021_02_3,4
2021_02_4,6
2021_04_1,8
2021_04_2,8
2021_04_3,4
2021_04_4,8
2021_05_1,9
2021_05_2,16
2021_05_3,17
2022_01_1,4
2022_01_2,4
2022_01_3,5
2022_01_4,8
2022_01_5,9
2022_01_6,4
2022_01_7,4
2022_02_1,16
2022_02_2,23
2022_02_3,8
2022_03_1,8
2022_03_2,8
2022_03_3,8
2022_03_4,16
2022_04_1,10
2022_04_2,9
2022_04_3,5
2022_05_1,16
2022_05_2,8
2022_05_3,16
2022_05_4,16
2023_01_1,11
2023_01_2,8
2023_02_1,8
2023_02_2,4
2023_02_3,15
2023_02_4,7
2023_03_1,3
2023_03_2,5
2023_03_3,8
2023_03_4,8
2023_03_5,9
2023_04_1,8
2023_04_2,8
2023_04_3,8
2023_04_4,7
2023_05_1,8
2023_05_2,9
2023_05_3,4
2023_05_4,9
