Feature,Positions,Tallies
Multivariate,"[1956, 1958, 1959, 1961, 1962, 1963, 1964, 1966, 1969, 1970, 1971, 1975, 1976, 1977, 1980, 1981, 1983, 1986, 1987, 1988, 1989, 1990, 1991, 1996, 1997, 2001, 2002, 2006, 2007, 2008, 2009, 2011, 2015, 2016]","[9, 2, 2, 78, 5, 3, 10, 11, 3, 3, 4, 1, 109, 24, 24, 25, 2, 36, 1, 2, 1, 4, 3, 125, 60, 63, 2, 75, 8, 16, 6, 3, 4, 5]"
ISO,"[1956, 1958, 1959, 1966, 1967, 1968, 1971, 1973, 1974, 1975, 1976, 1981, 1986, 1987, 1988, 1989, 1991, 1996, 1997, 2001, 2006, 2009, 2011, 2016]","[20, 7, 1, 47, 8, 13, 7, 2, 2, 4, 5, 1, 46, 6, 6, 24, 18, 87, 60, 45, 41, 48, 19, 3]"
MIS,"[1956, 1957, 1961, 1963, 1966, 1969, 1971, 1972, 1976, 1981, 1982, 1986, 1989, 1990, 1991, 1995, 1996, 2001, 2006, 2007, 2008, 2009, 2011, 2014, 2015, 2016]","[10, 2, 39, 45, 26, 4, 6, 2, 25, 64, 10, 15, 1, 2, 4, 48, 16, 35, 70, 34, 3, 12, 1, 2, 5, 19]"
Pitch_SD,"[1956, 1961, 1963, 1964, 1966, 1970, 1971, 1976, 1978, 1986, 1990, 1991, 1992, 2001, 2011]","[8, 23, 13, 27, 13, 10, 8, 168, 60, 11, 3, 19, 7, 140, 11]"
TI_OD,"[1961, 1964, 1966, 1971, 1976, 1981, 1983, 1986, 1996, 2001, 2002, 2006, 2007, 2008, 2009, 2011, 2015, 2016]","[3, 20, 30, 1, 5, 50, 42, 55, 168, 38, 2, 59, 6, 32, 3, 9, 6, 4]"
RIC,"[1956, 1957, 1958, 1961, 1964, 1965, 1966, 1971, 1976, 1981, 1982, 1983, 1986, 1996, 2001, 2006, 2007, 2011, 2016]","[9, 1, 2, 10, 4, 4, 16, 9, 2, 42, 5, 25, 30, 185, 58, 30, 41, 12, 7]"
Tonal_S,"[1960, 1961, 1962, 1966, 1971, 1972, 1973, 1976, 1986, 1996, 1997, 1998, 2001, 2006, 2007, 2008, 2011, 2016]","[30, 91, 8, 29, 15, 3, 8, 22, 7, 66, 20, 30, 44, 31, 14, 6, 16, 3]"
PIC,"[1956, 1957, 1961, 1964, 1966, 1969, 1970, 1976, 1986, 1996, 2000, 2001, 2009, 2010]","[20, 2, 13, 36, 21, 4, 4, 155, 17, 63, 60, 121, 13, 3]"
Onset_Density,"[1956, 1961, 1964, 1966, 1971, 1973, 1976, 1981, 1982, 1983, 1986, 1991, 1994, 1995, 1996, 2000, 2001, 2006, 2008, 2011, 2013, 2014, 2015, 2016]","[13, 16, 48, 25, 5, 2, 4, 32, 2, 20, 25, 2, 1, 6, 120, 60, 69, 3, 1, 15, 1, 2, 4, 12]"
