Feature,Positions,Tallies
Multivariate,"[1957, 1958, 1959, 1961, 1962, 1963, 1965, 1966, 1969, 1970, 1971, 1975, 1976, 1977, 1980, 1981, 1983, 1986, 1987, 1988, 1989, 1990, 1991, 1996, 1997, 2001, 2002, 2006, 2007, 2008, 2010, 2011, 2015, 2016]","[11, 2, 0, 0, 86, 0, 21, 0, 0, 10, 0, 0, 134, 0, 49, 0, 2, 0, 39, 0, 0, 8, 0, 185, 0, 65, 0, 0, 99, 0, 9, 0, 4, 5]"
ISO,"[1957, 1958, 1959, 1966, 1967, 1968, 1972, 1973, 1974, 1975, 1976, 1981, 1986, 1987, 1988, 1990, 1991, 1996, 1997, 2001, 2006, 2010, 2011, 2016]","[27, 1, 0, 0, 68, 0, 9, 0, 6, 0, 5, 1, 0, 58, 0, 42, 0, 147, 0, 45, 41, 67, 0, 3]"
MIS,"[1956, 1957, 1962, 1963, 1966, 1970, 1971, 1972, 1976, 1981, 1982, 1986, 1989, 1990, 1991, 1995, 1996, 2001, 2006, 2007, 2008, 2010, 2011, 2014, 2015, 2016]","[12, 0, 84, 0, 26, 10, 2, 0, 25, 74, 0, 15, 0, 7, 0, 64, 0, 35, 0, 107, 0, 13, 0, 0, 26, 0]"
Pitch_SD,"[1956, 1962, 1963, 1964, 1966, 1970, 1971, 1977, 1978, 1986, 1990, 1991, 1992, 2001, 2011]","[8, 36, 27, 0, 13, 18, 0, 228, 0, 11, 0, 29, 0, 140, 11]"
TI_OD,"[1961, 1965, 1966, 1971, 1976, 1982, 1983, 1986, 1996, 2001, 2002, 2006, 2007, 2008, 2010, 2011, 2015, 2016]","[3, 50, 0, 1, 5, 92, 0, 55, 168, 40, 0, 0, 97, 0, 12, 0, 6, 4]"
RIC,"[1956, 1957, 1958, 1961, 1964, 1965, 1966, 1971, 1976, 1981, 1982, 1983, 1986, 1996, 2001, 2006, 2007, 2011, 2016]","[0, 12, 0, 10, 0, 24, 0, 9, 2, 0, 72, 0, 30, 185, 58, 71, 0, 12, 7]"
Tonal_S,"[1960, 1961, 1962, 1966, 1971, 1972, 1973, 1976, 1986, 1996, 1997, 1998, 2001, 2006, 2007, 2008, 2011, 2016]","[0, 129, 0, 29, 0, 26, 0, 22, 7, 0, 116, 0, 44, 0, 51, 0, 16, 3]"
PIC,"[1956, 1957, 1961, 1965, 1966, 1969, 1970, 1976, 1986, 1996, 2000, 2001, 2009, 2010]","[22, 0, 13, 57, 0, 8, 0, 155, 17, 63, 181, 0, 13, 3]"
Onset_Density,"[1956, 1961, 1965, 1966, 1972, 1973, 1976, 1981, 1982, 1983, 1986, 1991, 1994, 1995, 1996, 2000, 2001, 2007, 2008, 2012, 2013, 2014, 2015, 2016]","[13, 16, 73, 0, 7, 0, 4, 0, 54, 0, 25, 2, 0, 127, 0, 129, 0, 4, 0, 16, 0, 6, 0, 12]"
