Feature,Positions,Tallies
ISO,"[1956, 1966, 1967, 1968, 1971, 1974, 1975, 1976, 1981, 1987, 1988, 1989, 1997, 1998, 2001, 2006, 2010, 2011, 2016]","[1, 0, 77, 0, 2, 0, 32, 0, 2, 66, 30, 0, 148, 0, 45, 52, 68, 0, 9]"
Multivariate,"[1956, 1961, 1964, 1965, 1966, 1970, 1971, 1975, 1976, 1980, 1981, 1985, 1986, 1990, 1991, 1994, 1995, 1996, 1999, 2000, 2001, 2007, 2008, 2009, 2010, 2011, 2015, 2016]","[16, 57, 0, 51, 0, 8, 0, 163, 0, 15, 0, 46, 0, 12, 0, 0, 93, 0, 0, 163, 0, 75, 0, 6, 0, 4, 4, 6]"
RIC,"[1956, 1957, 1958, 1961, 1965, 1966, 1971, 1975, 1976, 1981, 1982, 1983, 1985, 1986, 1996, 1997, 2002, 2003, 2006, 2007, 2011, 2016]","[0, 14, 0, 11, 17, 0, 31, 55, 0, 0, 39, 0, 27, 0, 187, 0, 64, 0, 40, 0, 8, 12]"
PIC,"[1956, 1957, 1961, 1965, 1966, 1976, 1986, 1996, 2000, 2001, 2010, 2011]","[22, 0, 2, 69, 0, 160, 4, 26, 217, 0, 9, 33]"
Tonal_S,"[1961, 1962, 1966, 1971, 1976, 1984, 1985, 1986, 1991, 1996, 2000, 2001, 2006, 2007, 2008, 2009, 2010, 2011, 2014, 2015]","[74, 0, 10, 4, 36, 0, 54, 0, 10, 1, 194, 0, 0, 46, 0, 0, 5, 0, 2, 12]"
Pitch_SD,"[1956, 1961, 1964, 1965, 1966, 1970, 1971, 1976, 1977, 1985, 1986, 1991, 1992, 1993, 2001, 2011]","[5, 8, 0, 72, 0, 8, 0, 226, 0, 3, 0, 0, 50, 0, 141, 9]"
TI_OD,"[1966, 1970, 1971, 1976, 1984, 1985, 1986, 1987, 1995, 1996, 2000, 2001, 2002, 2006, 2007, 2008, 2010, 2011, 2015, 2016]","[20, 104, 0, 2, 0, 81, 0, 11, 158, 0, 0, 43, 0, 0, 89, 0, 13, 0, 6, 12]"
Onset_Density,"[1956, 1965, 1966, 1976, 1980, 1981, 1986, 1990, 1991, 1996, 2000, 2001, 2006, 2011, 2012, 2013, 2014, 2015, 2016]","[12, 120, 0, 37, 36, 0, 3, 7, 0, 72, 176, 0, 1, 0, 24, 0, 0, 29, 0]"
MIS,"[1956, 1957, 1962, 1963, 1966, 1969, 1970, 1971, 1972, 1976, 1980, 1981, 1986, 1992, 1993, 1994, 1995, 1996, 2002, 2003, 2004, 2006, 2010, 2011, 2015, 2016]","[32, 0, 102, 0, 30, 0, 21, 0, 1, 33, 8, 0, 3, 12, 0, 10, 0, 16, 76, 30, 0, 92, 17, 0, 1, 1]"
