Year,Tonal_S,Pitch_SD,MIS,Onset_Density,TI_OD,ISO,PIC,RIC
1950,,,,,,,,
1951,,,,,,,,
1952,0.7332559009044197,3.552430527869621,2.2913038769215515,1.7083241284980928,3.9890257366609503,0.3628215408872319,4.469638581955711,2.390799509079254
1953,0.7466107398924942,3.4763848321652255,2.40069764723442,1.6497379034996265,3.982208751015017,0.39382524192300045,4.492760355955712,2.311979061079254
1954,0.7461744873004716,3.471914394450965,2.368861089576653,1.611710305823357,3.70181277444257,0.40271779911126904,4.4530564541375295,2.474459813806527
1955,0.7491114591148007,3.5194409209667916,2.2931632870138072,1.6594832632725462,3.779358115568642,0.37781923763493835,4.323155840804196,2.5916437261398597
1956,0.7357015305921641,3.4105505866229016,2.196786737027762,1.8480117644812968,4.0937165349270614,0.39492571770478124,4.119969347119985,2.595301627678322
1957,0.72456255064905,3.4141053433316797,2.176890441993955,1.8837261420314775,4.134052032762559,0.41928062596945415,4.120338047119985,2.5747522876783213
1958,0.7342221531910949,3.3274410441017737,2.14630340162406,1.8161861664736243,3.9933393287998555,0.3801032398297809,4.054161547889216,2.7076970486013985
1959,0.7354222598198727,3.3097410248923835,2.128374571540614,1.834547971626391,4.125818172774863,0.35832159989090073,4.0286126387983066,2.6404482358741257
1960,0.7341266576428869,3.56620557987297,2.1812676174812693,1.8000111234548715,4.094803550518464,0.36943807526757394,4.182468241298307,2.6695241683741258
1961,0.7502273420455228,3.622458620496091,2.2422250216402255,1.7235044819254508,3.938598644313558,0.3784868315341589,4.273215980437063,2.6369315101923076
1962,0.7664824136351908,3.728263584949058,2.20780736679105,1.693932714834078,3.78942829085749,0.37501722027630036,4.236705450217284,2.5989357637087913
1963,0.7657400968639164,3.646111326113553,2.1127227020386155,1.7394222481401092,3.9012301001592995,0.38120617640374854,4.335231233993507,2.622765935876623
1964,0.7495036913510946,3.3986334403118867,2.052380961982316,1.836870809678367,4.1144882969213326,0.41098954070968785,4.143496962664836,2.551999567540959
1965,0.7456299567353604,2.9392980006872476,1.975615956976221,1.9608917898654687,4.1206355356482405,0.4159138035199943,3.896986106983017,2.4087767486773224
1966,0.7387966824752008,2.86626122107721,1.900984337520375,1.947205535139497,4.117399604912309,0.390250834633679,3.828949326528471,2.462130301859141
1967,0.7383686580130722,2.91312930229808,1.9527787839015924,1.996293136249833,4.114889555437974,0.3763416022754729,3.8191571111713287,2.4650661150734265
1968,0.7352624468476032,3.0102955864029295,2.0204852859028857,1.9882545282072752,4.1849403927585485,0.35570981170176075,3.7785678232925406,2.5327930126491838
1969,0.751674565898226,3.148881240692955,2.08585134624932,1.9466464099421306,4.144816752461898,0.3389202237311786,3.9609050992201427,2.5868008275089127
1970,0.7553890301599642,3.3238194552118214,2.0701147242921056,1.9417488102802423,4.392853043107665,0.3181606274225948,4.069552861038324,2.651272540236185
1971,0.756622846411402,3.466175118727764,2.1552389752644254,1.9229067064204692,4.47912188229317,0.30084294603753203,4.154609679371657,2.6782477719028526
1972,0.7540741779523629,3.380750530741885,2.140954458527841,1.9205910631540708,4.656386267213805,0.3287375193191859,4.096304749371657,2.602268742527852
1973,0.7377858159758651,3.3363207155625836,2.1089496279609077,1.9388000906201697,4.704911396533108,0.35060280073270145,4.076753414133562,2.5179080230040425
1974,0.7399348369053735,3.369794837338462,2.1604500690880317,1.9371956173984857,4.642916788946886,0.3705678847907838,3.9196835858982686,2.4643728267192127
1975,0.7454251599750596,3.3191326806124684,2.1710437839498637,1.9255770571888768,4.6849809066031085,0.3913305939671388,3.908647050039682,2.458788112577799
1976,0.7365126462350886,3.1459780719353683,2.027685368436022,2.0281830922870947,4.766481585481238,0.41319022770300806,3.6852896761181144,2.38700200238172
1977,0.7409412761534646,3.0499638965181886,2.064758681454312,2.019412976070877,4.601608073576476,0.3953984743105331,3.6308628486181136,2.4806588492567205
1978,0.7543796694058539,3.056586247256825,2.0999768244026873,1.9809874220118704,4.400436738645743,0.389450935626225,3.6396341357609714,2.48405112925672
1979,0.7586957589542696,3.0365386076619316,2.043350540844663,1.9431519211906565,4.39037202134565,0.37573914678984266,3.7540994424276377,2.5736113635023345
1980,0.7507046668258911,2.878459061261096,2.0139811394516753,2.052820617740091,4.5211061714548,0.39150714776821094,3.59756902964986,2.482027532946779
1981,0.7675711186833113,2.885901166828366,2.058130092683054,2.062489557354749,4.389149544204056,0.39317492683419325,3.681345338571428,2.472541024809524
1982,0.7586895895303418,2.8990449814779877,2.001094364183544,2.077551831793416,4.42016002993045,0.4023610898662094,3.7360376294805198,2.402750155264069
1983,0.7515882874671098,2.836191391267083,1.9776345631828385,2.159875318006555,4.660092561250512,0.4039933811863361,3.699558046203209,2.3744840140035652
1984,0.7458979499572548,2.9076049544100497,2.0559227874065247,2.1121705506089574,4.7385782348965115,0.38759492839728377,3.7425606282865416,2.398983161336898
1985,0.7435400859535879,2.8526989735893986,2.014536477024003,2.0549906183952595,4.620362100540672,0.3855313662752088,3.729011265286542,2.419715607003565
1986,0.7398511297909403,2.9064912301676333,2.0892646742197956,2.066396020269809,4.738818584144213,0.3900178095110525,3.7204255963649735,2.416186521023173
1987,0.7362784087251688,2.8633871706114618,2.0550239368486793,2.0858143451312983,4.935028320828259,0.3820472090625092,3.6372320193689256,2.4246674555686276
1988,0.7426979098742501,2.876396896068556,2.0418243212691243,2.065855791672411,5.00706417367207,0.4011606518376949,3.628872249408141,2.423274140352941
1989,0.7339868787903553,2.7323392733277814,1.9390821199875288,2.1201425245980605,5.111467046177775,0.42439926173632364,3.590902798552878,2.35311204930031
