Year,Tonal_S,Pitch_SD,MIS,Onset_Density,TI_OD,ISO,PIC,RIC
1950,0.6895799996999885,4.134101135551537,2.0295686860153266,2.2414807037678064,4.109122807017544,0.3894774739951175,3.89575278,2.16019302
1951,0.742978160831755,3.5608361802057336,2.3598672361738564,1.7729780670190278,4.373588829471182,0.36987996603367673,4.5788393727272725,2.198040790909091
1952,0.7363762275316704,3.706493458878174,2.5329845462269356,1.3728362607384879,3.501411385810363,0.39249289036823237,4.739933941666667,2.2909298883333333
1953,0.7637162775258154,3.522756745367381,2.471448098667819,1.3025171290729582,3.239102564102564,0.35973837625421334,4.9497544,2.5189340923076924
1954,0.7336288389328692,2.83796511934528,2.0626508175238203,1.8518084818921827,4.721903096903097,0.30251899778491953,4.183912415384615,2.785899753846154
1955,0.7563541946403609,3.753872657029558,2.5765375375796675,1.948549578775476,4.075037878787879,0.5444959791739603,4.01136165,1.76609078
1956,0.7407968978716419,3.538483991634432,2.2006844478850223,1.5828400786376804,2.971608946608946,0.4143427519750196,4.380319863636363,3.010444554545454
1957,0.7510610866033164,3.9441260914573077,2.1544955334127085,1.6117010479844345,3.889138091440723,0.2680000829865789,4.090430875,2.87684945
1958,0.6966666349126321,2.978305073647928,1.9895653487375913,2.24515963511671,4.810894660894661,0.44527077660342773,3.9338219315789473,2.5372236
1959,0.6779339392172983,2.855738902889173,1.9631693423547856,2.0303803696430873,4.923580586080586,0.4242935391082842,4.1857559153846156,2.683153053846154
1960,0.8046522073505851,3.3205511608800244,2.42360233573019,1.6108497009862104,3.3714743589743588,0.34860904847559404,3.680479153846154,2.4308145846153844
1961,0.746797431015532,3.449983895587486,2.111040297467794,1.6746491044015137,3.634003166483985,0.3054345522806186,4.252575318181818,2.6742004909090906
1962,0.744583075718387,5.226448866360241,2.4189607631159857,1.4390168071268359,3.7340649801587302,0.3235824598699454,4.8597088875,3.0222291125
1963,0.7771700569258116,3.259570276763529,2.294352369532372,1.8626264274696067,4.02987012987013,0.49051455793635257,4.387560627272728,2.374260309090909
1964,0.759209297165638,3.3847637251540093,1.7910810681089064,1.8825215341862236,4.177728818800247,0.40694548281899123,4.003203264285714,2.4931743214285715
1965,0.8009406234942132,2.9097898667025004,1.948179011968017,1.838297367516365,3.9304834054834057,0.37955382911283464,4.173108072727273,2.5499654454545455
1966,0.6656154034514233,2.2125944665791555,1.809331597186299,2.1618919120928037,4.70029415029415,0.45435137381031565,3.2939039615384615,2.3203686492307694
1967,0.7252144026397155,2.929771668237043,2.035135738085512,2.0591217080623454,3.764801173793268,0.3482037739214773,3.627154609090909,2.306115018181818
1968,0.7430036856250134,2.8943863787133424,1.9211942722531417,1.7941951538397483,4.013690476190476,0.36219971350477637,4.047376725,2.641028075
1969,0.7570691748549949,3.6191041312583563,2.0500533000149925,2.127959539737902,4.165178571428571,0.3373993210279606,3.9542421875000002,2.5078533875
1970,0.7854095676668692,3.395621287226751,2.286711521974484,1.7981043273035746,4.280737592086276,0.2763948762442738,3.9701616333333334,2.8885999333333334
1971,0.7476759987045369,2.905522738029283,2.136161898918468,1.9538513207670831,4.499675948810896,0.3704034339574047,4.20559034117647,2.590407723529412
1972,0.7437867239484066,3.804462740831374,1.956452628299442,2.0346337097529026,5.004982627022101,0.24440579237855858,4.170393418181818,2.6284735818181817
1973,0.7491727668822022,3.606164696293056,2.34681552711474,1.6999846345408827,4.445034672118005,0.2756113065794623,4.472660816666666,2.7759042333333337
1974,0.7443258325597993,3.19198119132896,1.9786307163320698,2.11638132340591,5.051500496031746,0.47687218743623,3.6627175375,2.127958240625
1975,0.7039677577843807,3.1734722113302447,2.1266873691398183,1.8891494646340696,4.523363238682788,0.3857212833118518,3.8724049571428574,2.4667963357142857
1976,0.7584211033520791,3.0728933469086774,2.3936641045540896,1.9458289546586627,4.189702910879789,0.4702288542478163,3.4202412,2.322731742105263
1977,0.7712383392968366,3.5511519572014065,2.009421202608602,1.976540908704858,5.215303215303215,0.3482193382603336,4.115210738888889,2.6005500111111113
1978,0.7046101981823467,2.7403916529075536,1.630023449545533,2.2130148100319733,4.852538066508655,0.3849094752588087,3.3558739470588232,2.4169736823529413
