Tonal_S,Pitch_SD,MIS,Onset_Density,TI_OD,ISO,PIC,RIC
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
0.14047851026997127,,0.008134491325343662,-0.05856630004527405,-0.02492822811229861,,,0.12616140709932955
-0.11440757943313018,-0.03287616052014958,-0.02877034727947697,0.06536823727837379,0.015116228551665112,0.03913782206672822,-0.013008492452565412,-0.052618518448145135
0.221526945744701,0.010655642173635294,0.09850869258422829,-0.029984028388583994,-0.04444196211432749,-0.04896572552337786,0.004437094227685345,0.027430488091114036
0.05508115425132931,0.06490640390848948,-0.03366150001123758,0.01787903445366562,0.006770977680208207,0.015831473583261813,-0.002241147060961013,-0.03704395796494098
-0.08902269072866742,-0.020478860498482798,-0.09023870157320296,0.03439232082534194,0.03753864871855664,-0.02934129416939335,0.0020165846842806756,0.007120268918518802
-0.048539470477266033,0.04196942264379805,0.07275100637924092,-0.032662254807750646,0.007106180120946881,-0.06888113016268987,0.022473114371103775,0.04231766769062417
0.037985413516053,-0.033505937190615065,-0.05058889591667409,0.0018253442425693045,-0.03552712749330425,-0.028883988803820093,-0.015617023984179967,0.04298187659174779
-0.008244620578069406,-0.00051216157942785,0.028441943444164508,0.023524570627886487,0.014106874151692872,-0.020613222975975676,0.022320374042150926,0.013261461834574217
-0.0536070434233723,-0.03135770912095476,0.006560248399603563,0.03628332818914115,0.021927513351404415,-0.05993069938690809,-0.021688018408631382,0.02031908811032268
0.07038462797935952,-0.03518783755748511,-0.0218276890770705,0.009464666963685697,0.006305328415549205,0.03659996861678777,-0.0029834961800879745,0.014780822858786458
-0.10581300986525033,-0.12982194524074286,-0.11451490240594309,0.05475695652269447,0.012514687467773566,0.047131220019236086,-0.018048280846166664,-0.05163031038350252
0.014972103128370717,-0.000819427922604421,0.07171472097863413,-0.030354579249020575,-0.02567805094505765,0.0784471721552682,0.013452381600543406,-0.02682687731944977
-0.06689245519776443,0.018046720384615078,0.0658537084490331,-0.07916555122205243,-0.04878687152604266,-0.01990576055373572,0.009381539449023202,0.18838418114712152
0.08463180850994423,0.03823591453357983,0.06693734165962462,-0.057562071270869763,-0.043436739465520735,0.0035091665117234494,0.06750622015152663,0.05268178857994832
0.01924732373807525,0.053939988634632674,0.0011040134147156655,0.0016875340350072376,0.0004817860098227933,0.02993432032955179,-0.0252129862542948,-0.0369263689704078
0.0370532152357419,0.012879783792849375,0.03170914078036502,0.03636150518981213,0.05078092597645367,-0.022977703032629693,-0.058992060846354,-0.05701597808546521
-0.07071143638948107,0.008185972807098651,0.025112723040948748,-0.060523573239377015,-0.031480529050215644,-0.12824746224419908,0.04799857127132068,0.10282193312986931
-0.016052319465516995,0.009411926240049884,0.010777907375040585,0.035213524886011316,0.08077353490217332,0.08538479055976878,0.033276652898663994,-0.2243087569234571
0.015598442168521465,0.012408225332173894,-0.10273151882897275,0.00031432098611106074,0.008028121180321812,0.03439028932180044,0.007233112904299677,-0.0850661074975892
-0.06555801598036615,-0.009606941424816717,-0.029033880135866497,0.009007303373029518,0.013341492425698598,0.03347340091772055,-0.012193514462261135,-0.016712404819424265
-0.05811090300316468,0.02352698060440328,-0.016238502602508587,0.02273971064959862,-0.020512790245500567,0.023907362770888563,-0.060110625105075643,-0.05011170363958228
