Dependent,Predictor,Lag,Coefficient
Pitch_SD,Pitch_SD,1,0.8539
Pitch_SD,ISO,1,-0.7826
MIS,const,0,1.09
MIS,Tonal_S,1,-0.567
MIS,MIS,1,0.4396
MIS,ISO,1,-0.8982
MIS,RIC,1,-0.4619
Onset_Density,Tonal_S,1,0.1514
TI_OD,TI_OD,1,0.6848
TI_OD,RIC,1,0.2624
ISO,ISO,1,0.671
PIC,const,0,1.113
PIC,Pitch_SD,1,0.3946
PIC,TI_OD,1,-0.7923
PIC,ISO,1,-0.5435
PIC,RIC,1,-0.4549
RIC,MIS,1,0.6774
RIC,RIC,1,0.7408
