Dependent,Predictor,Lag,Coefficient
Tonal_S,MIS,1,-2.0
Tonal_S,PIC,1,2.426
Pitch_SD,MIS,1,-1.049
Pitch_SD,TI_OD,1,0.3737
Pitch_SD,RIC,1,1.67
MIS,Onset_Density,1,-0.9762
MIS,TI_OD,1,0.9454
TI_OD,TI_OD,1,1.041
ISO,const,0,-2.376
ISO,Tonal_S,1,-0.86
ISO,Pitch_SD,1,-2.046
ISO,Onset_Density,1,1.274
ISO,ISO,1,2.254
ISO,RIC,1,3.054
PIC,MIS,1,-0.4502
PIC,PIC,1,0.9063
RIC,const,0,2.276
RIC,Tonal_S,1,-0.5322
RIC,Pitch_SD,1,1.149
RIC,Onset_Density,1,-0.9176
RIC,ISO,1,-1.461
RIC,RIC,1,-2.026
